Player ID,ID
A Lyth,70b8fd28
Aamer Azmat,935678ee
Aamer Yamin,907d6e58
AB de Villiers,c4487b84
Abbas Afridi,2cec2a92
Abdul Bangalzai,0251a22f
Abdul Nasir,494a0503
Abdullah Shafique,fc2fffb5
Abdur Rehman,d094e7d1
Abrar Ahmed,abb7c76c
AD Hales,92aeac25
AD Russell,bbd41817
Adil Amin,87addb93
Adnan Rasool,b8a75ca8
ADS Fletcher,1bae756b
Agha Salman,89c16049
Ahmed Daniyal,9656afbf
Ahmed Safi Abdullah,fb23118c
Ahmed Shehzad,f8fd6e3f
Ahsan Ali,dc2abe5e
Aizaz Cheema,5441db8c
Akbar-ur-Rehman,1a772306
Akif Javed,99d7d5b7
Ali Khan,b0eaaac6
Ali Majid,0e9b0f64
Ali Shafiq,7873a628
Amad Butt,c6a1b1bb
Anamul Haque,72b245dd
Anwar Ali,eb2d5fe7
AP Devcich,ed90abe4
Arish Ali,1e9b3b23
Arshad Iqbal,ed031922
Asad Shafiq,50250426
Ashar Zaidi,9bab2b81
Ashir Qureshi,ed54033c
Asif Afridi,9489623e
Asif Ali,0a4736eb
Athar Mahmood,55d3d4e8
AW Summers,a35c119e
Awais Zia,5c88fab9
Azam Khan,ee8f1a6d
Azhar Ali,211de69f
Azhar Mahmood,9a158001
B Laughlin,b2a79f17
B Muzarabani,449f4e3c
BA King,7fca84b7
Babar Azam,8a75e999
BAC Howell,0bec3a6c
BAW Mendis,ea0cdc12
BB McCullum,b8a55852
BCJ Cutting,2e11c706
Bilal Asif,f3be8d36
Bilawal Bhatti,7662cf7a
Bismillah Khan,d3cefce5
BJ Haddin,b0c772ee
BJ Hodge,b57f8a9a
BM Duckett,5f26f677
BR Dunk,272d796e
BRM Taylor,53597be1
C Munro,af2c687b
CA Ingram,c995d726
CA Lynn,45eda7c8
CAK Walton,bbff906c
CH Gayle,db584dad
CJ Anderson,8abdf100
CJ Green,19b9f399
CJ Jordan,ffe699c0
CR Brathwaite,e342e5fb
CS Delport,afa78c3a
D Foxcroft,ed6894af
D Ramdin,d1523761
D Wiese,aa8d28ae
DA Miller,d67d5f00
Danish Aziz,a4799701
DAS Gunaratne,770494eb
Dilbar Hussain,a968d8eb
DJ Bravo,87e562a9
DJ Malan,ad9c32a2
DJ Vilas,087210b1
DJ Willey,7f048519
DJG Sammy,c03c6200
DM Bravo,14b14cd8
DPMD Jayawardene,d18f9182
DR Smith,35205dfc
DT Christian,2a2e6343
DW Steyn,8fd1a8f5
E Chigumbura,d2babdd5
Ehsan Adil,210b05cb
EJG Morgan,d2a6c0e6
F du Plessis,3355b542
FA Allen,b52ffbbd
Faheem Ashraf,bd4ea627
Faizan Khan,9e44e6fd
Fakhar Zaman,1777c020
Fawad Ahmed,22ae3041
Gauhar Ali,86b6e495
GC Viljoen,a316d663
GD Elliott,c03449e0
Ghulam Mudassar,667f678b
Gulraiz Sadaf,ebd1ab1f
Haider Ali,c13e34f4
Hammad Azam,57bd3ecc
Haris Rauf,24bb1c2f
Haris Sohail,7cd0a092
Hasan Ali,2911de16
Hassan Khan,486065b3
Hazratullah,5ea51c25
HC Brook,4ae1755b
HF Gurney,e412cb64
Hussain Talat,bb4b445b
IA Cockbain,542fd5a6
Ibtisam Sheikh,a6fc52a9
Iftikhar Ahmed,29e253dd
Ihsanullah,c290033d
Imad Wasim,9cb8d7a6
Imam-ul-Haq,40c041ea
Imran Khalid,b8eddbdb
Imran Khan (1),195fb6db
Imran Khan (2),2b0f2af3
Imran Tahir,acee4cc4
IR Bell,33155d1b
J Allenby,7d5e0b78
J Charles,09a9d073
J Weatherald,edc7ddb6
JA Thompson,1d2f290a
JC Archer,5574750c
JD Wildermuth,f1c61793
JJ Roy,d1c36f5c
JL Denly,bdadf7da
JM Bairstow,abb83e27
JM Clarke,2eca67f5
JM Vince,a15618fe
JP Duminy,2e8994e7
JP Faulkner,808f425a
Junaid Khan,086f5984
JW Hastings,012829ff
JW Wells,8bdac857
KA Pollard,a757b0d8
Kamran Akmal,ff077124
Kamran Ghulam,35f4cf7e
Kashif Bhatti,e93f608d
KC Sangakkara,6b71e6cf
Khalid Latif,5eea345c
Khalid Usman,e9ea5eb5
Khurram Manzoor,82c78845
Khurram Shahzad,27c5715d
Khushdil Shah,fce581b5
KJ Abbott,a9da7784
KK Cooper,557153ca
KP Pietersen,39f01cdb
L Gregory,06c2de82
L Ronchi,0fa5042b
L Wood,65b6943c
LA Dawson,4a461c24
LJ Evans,1c513d54
LJ Wright,cca50cd6
LMP Simmons,89f64c19
LS Livingstone,50c6bc2b
M de Lange,d4eef961
Maaz Khan,73a0e5d8
Mahmudullah,bf1d7d3e
MH Wessels,90f47cf2
Mir Hamza,cb1a782a
Misbah-ul-Haq,7eae4418
MJ Guptill,2be41edb
MJ McClenaghan,51a3c5ef
MM Ali,bb351c23
MN Samuels,f846de6a
MN van Wyk,710dd98c
Mohammad Abbas,a089f93f
Mohammad Amir,e174dadd
Mohammad Amir Khan,72f03be4
Mohammad Asghar,574665e2
Mohammad Hafeez,9ab63e7b
Mohammad Haris,ff3f6fc1
Mohammad Hasnain,8596fe80
Mohammad Huraira,9d2d03ef
Mohammad Ilyas,bbfa0b42
Mohammad Imran,65a2fff5
Mohammad Imran (2),687e20b3
Mohammad Irfan,a8e3170f
Mohammad Irfan (4),1bf9a8ef
Mohammad Irfan (5),32885b08
Mohammad Mohsin,79f8472d
Mohammad Nawaz,3086f7a4
Mohammad Rizwan,2f26ac1a
Mohammad Sami,68ddabdb
Mohammad Taha,3207b7d2
Mohammad Umar,feb6180d
Mohammad Wasim,9e9af5f2
Mubasir Khan,7264b765
Muhammad Akhlaq,9739e85c
Muhammad Faizan,1574f3fe
Muhammad Musa,9b8a3c39
Mujeeb Ur Rahman,7d92277a
Mukhtar Ahmed,456f6d99
Mushfiqur Rahim,a94e08ea
Mustafizur Rahman,0a8fce53
N Pooran,3241e3fd
Nabi Gul,bcc154fa
Najibullah Zadran,1212cbec
Naseem Shah,9c9af282
Nasir Nawaz,13dd482e
Nauman Ali,54c58a5e
Nauman Anwar,d0540390
Naved Yasin,7bc1a2d1
NL McCullum,5673a3fc
NLTC Perera,0f12f9df
Noor Ahmad,efc04be7
PD Salt,3d284ca3
PR Brown,1efd12d1
PR Stirling,cf494ffe
Qais Ahmad,8d5d991e
Qasim Akram,b6359668
R Powell,650d5e49
RA Whiteley,d346d939
Rafatullah Mohmand,9211d267
Rahat Ali,a63775d6
Rahmanullah Gurbaz,0bacade8
Raja Farzan,38d1def2
Rameez Raja (2),e191bf68
Rashid Khan,5f547c8b
Raza Hasan,4f7279a4
Rizwan Hussain,3031bf83
RN ten Doeschate,4ec07775
Rohail Nazir,522bea89
RR Emrit,e7de4f6b
RR Rossouw,cad00a4d
RS Bopara,7ca5e05d
Rumman Raees,1c790f4f
S Badree,76388dc8
S Lamichhane,b410bd3d
S Mahmood,0f6db197
S Prasanna,f78e7113
Saad Ali,4cbf2e06
Saad Nasim,3fbb43a9
Sabbir Rahman,7147f314
Saeed Ajmal,05d74535
Sahibzada Farhan,1aba45cd
Saif Badar,e5d452d7
Saifullah Bangash,feb9238a
Saim Ayub,33609a8c
Salman Butt,4d6d6280
Salman Irshad,30afc92b
Salman Mirza,7ab1eab7
Sameen Gul,3be224b0
Sarfraz Ahmed,2254ab79
SE Rutherford,d014d5ac
Shadab Khan,9de62878
Shaheen Shah Afridi,45a7e761
Shahid Afridi,0dc00542
Shahid Yousuf,7298fa49
Shahnawaz Dhani,7ccbb09f
Shahzaib Hasan,fd201eb4
Shakeel Ansar,21d6eb6a
Shakib Al Hasan,7dc35884
Shan Masood,6843a783
Sharjeel Khan,193ef196
Shoaib Malik,64c34cd0
Sikandar Raza,26d041c4
SM Ervine,556302a7
SO Hetmyer,48a1d7b7
Sohaib Maqsood,b98b5e1c
Sohaibullah,6a633d13
Sohail Akhtar,1ff2f550
Sohail Khan,5af743d0
Sohail Tanvir,64d43928
SP Narine,9d430b40
SR Patel,18fac429
SR Watson,4329fbb5
ST Finn,ccdd8308
SW Billings,c16d4035
SW Tait,addfb70e
T Banton,25f7b7d6
T Kohler-Cadmore,f836b33d
TA Lammonby,73f1f6b0
Tamim Iqbal,3b041a12
TH David,f1f99156
TJ Moores,85dcb721
TS Mills,245c97cb
Umaid Asif,f69f1d8a
Umair Masood,aa8b4568
Umar Akmal,fd2bf2a0
Umar Amin,3029e282
Umar Gul,16dfcc19
Umar Siddiq,8efab8ed
Umer Khan,db3643f3
Usama Mir,6dd8b88c
Usman Khan,bafb9238
Usman Qadir,33742f04
Usman Shinwari,f0e722e0
UT Khawaja,331ea488
Wahab Riaz,b3118300
Waqar Salamkheil,3f1066d0
Waqas Maqsood,f59b3bd1
WCF Smeed,4e18e961
WD Parnell,3a60e0b5
WG Jacks,9caf69a1
WL Madsen,86e0f3f0
Yasir Khan,4f1bb625
Yasir Shah,f2800ef3
Zafar Gohar,9fd3a210
Zahid Mahmood,ba158afd
Zahir Khan,786b7fe8
Zahoor Khan,f0e293b0
Zaman Khan,28392e11
Zeeshan Ashraf,4b345629
Zeeshan Zameer,aad2830e
Zia-ul-Haq,99c81226
Zohaib Khan,a3a1c7ef
Zulfiqar Babar,3a0f6df2